"psraid","sample","month","lang","cregion","state","form","sex","q1","q3","eminuse","intfreq","bbhome3","device1a","smart1","cable1","web1a","q5","date3","date4","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","stud","smjob1","snsjob2a","snsjob2b","auto3","marital","hh1","par","educ2","disa","party","ideo","hisp","race","weight","age","empl"
"201908","2","June","English","4"," 6","2","Female","1","1","1","2","9","1","1","1","1","1","1","1","1","9","1","9","9","9","9","2","2","2","2","2","2","2","2","1","3","1","1","2","2","3","2","1",6.51612903225806,43,"Employed"
"201908","2","June","English","4"," 6","2","Female","1","1","1","2","9","1","1","1","1","1","1","1","1","9","1","9","9","9","9","2","2","2","2","2","2","2","2","1","3","1","1","2","2","3","2","1",6.51612903225806,43,"Employed"
"201908","2","June","English","4"," 6","2","Female","1","1","1","2","9","1","1","1","1","1","1","1","1","9","1","9","9","9","9","2","2","2","2","2","2","2","2","1","3","1","1","2","2","3","2","1",6.51612903225806,43,"Employed"
"201908","2","June","English","4"," 6","2","Female","1","1","1","2","9","1","1","1","1","1","1","1","1","9","1","9","9","9","9","2","2","2","2","2","2","2","2","1","3","1","1","2","2","3","2","1",6.51612903225806,43,"Employed"
"201908","2","June","English","4"," 6","2","Female","1","1","1","2","9","1","1","1","1","1","1","1","1","9","1","9","9","9","9","2","2","2","2","2","2","2","2","1","3","1","1","2","2","3","2","1",6.51612903225806,43,"Employed"
"201908","2","June","English","4"," 6","2","Female","1","1","1","2","9","1","1","1","1","1","1","1","1","9","1","9","9","9","9","2","2","2","2","2","2","2","2","1","3","1","1","2","2","3","2","1",6.51612903225806,43,"Employed"
"201908","2","June","English","4"," 6","2","Female","1","1","1","2","9","1","1","1","1","1","1","1","1","9","1","9","9","9","9","2","2","2","2","2","2","2","2","1","3","1","1","2","2","3","2","1",6.51612903225806,43,"Employed"
"201914","2","June","English","3","51","1","Female","1","2","1","2","1","1","1","1","1","1","1","9","1","2","9","9","3","9","9","1","9","2","3","2","2","2","3","1","2","1","2","2","1","2","2","1",1.83870967741935,48,"Employed"
"201914","2","June","English","3","51","1","Female","1","2","1","2","1","1","1","1","1","1","1","9","1","2","9","9","3","9","9","1","9","2","3","2","2","2","3","1","2","1","2","2","1","2","2","1",1.83870967741935,48,"Employed"
"201919","2","June","English","3","13","1","Male","2","3","1","2","2","1","1","1","1","1","1","1","2","2","3","2","2","2","3","2","2","2","3","1","2","2","3","2","1","1","2","2","9","1","2","1",3,36,"Employed"
"201919","2","June","English","3","13","1","Male","2","3","1","2","2","1","1","1","1","1","1","1","2","2","3","2","2","2","3","2","2","2","3","1","2","2","3","2","1","1","2","2","9","1","2","1",3,36,"Employed"
"201919","2","June","English","3","13","1","Male","2","3","1","2","2","1","1","1","1","1","1","1","2","2","3","2","2","2","3","2","2","2","3","1","2","2","3","2","1","1","2","2","9","1","2","1",3,36,"Employed"
"201920","2","June","English","2","39","1","Female","1","1","1","2","1","1","2","1","1","2","1","1","1","2","9","2","2","2","2","2","1","2","3","2","2","2","3","2","3","2","1","1","2","2","2","1",3.70967741935484,57,"Unemployed"
"201920","2","June","English","2","39","1","Female","1","1","1","2","1","1","2","1","1","2","1","1","1","2","9","2","2","2","2","2","1","2","3","2","2","2","3","2","3","2","1","1","2","2","2","1",3.70967741935484,57,"Unemployed"
"201920","2","June","English","2","39","1","Female","1","1","1","2","1","1","2","1","1","2","1","1","1","2","9","2","2","2","2","2","1","2","3","2","2","2","3","2","3","2","1","1","2","2","2","1",3.70967741935484,57,"Unemployed"
"201920","2","June","English","2","39","1","Female","1","1","1","2","1","1","2","1","1","2","1","1","1","2","9","2","2","2","2","2","1","2","3","2","2","2","3","2","3","2","1","1","2","2","2","1",3.70967741935484,57,"Unemployed"
"201921","2","June","English","2","39","2","Male","1","1","1","3","1","1","2","1","1","2","2","2","1","1","3","1","1","3","2","1","2","2","3","2","2","2","4","6","1","2","1","2","2","3","1","4",2.74193548387097,23,"Employed"
"201921","2","June","English","2","39","2","Male","1","1","1","3","1","1","2","1","1","2","2","2","1","1","3","1","1","3","2","1","2","2","3","2","2","2","4","6","1","2","1","2","2","3","1","4",2.74193548387097,23,"Employed"
"201921","2","June","English","2","39","2","Male","1","1","1","3","1","1","2","1","1","2","2","2","1","1","3","1","1","3","2","1","2","2","3","2","2","2","4","6","1","2","1","2","2","3","1","4",2.74193548387097,23,"Employed"
"201928","2","June","English","1","34","1","Male","3","3","1","2","1","1","1","1","1","1","2","1","1","2","3","9","2","9","2","1","2","1","3","2","2","2","2","6","2","2","1","2","1","1","2","1",5.58064516129032,32,"Employed"
"201928","2","June","English","1","34","1","Male","3","3","1","2","1","1","1","1","1","1","2","1","1","2","3","9","2","9","2","1","2","1","3","2","2","2","2","6","2","2","1","2","1","1","2","1",5.58064516129032,32,"Employed"
"201928","2","June","English","1","34","1","Male","3","3","1","2","1","1","1","1","1","1","2","1","1","2","3","9","2","9","2","1","2","1","3","2","2","2","2","6","2","2","1","2","1","1","2","1",5.58064516129032,32,"Employed"
"201928","2","June","English","1","34","1","Male","3","3","1","2","1","1","1","1","1","1","2","1","1","2","3","9","2","9","2","1","2","1","3","2","2","2","2","6","2","2","1","2","1","1","2","1",5.58064516129032,32,"Employed"
"201928","2","June","English","1","34","1","Male","3","3","1","2","1","1","1","1","1","1","2","1","1","2","3","9","2","9","2","1","2","1","3","2","2","2","2","6","2","2","1","2","1","1","2","1",5.58064516129032,32,"Employed"
"201928","2","June","English","1","34","1","Male","3","3","1","2","1","1","1","1","1","1","2","1","1","2","3","9","2","9","2","1","2","1","3","2","2","2","2","6","2","2","1","2","1","1","2","1",5.58064516129032,32,"Employed"
"201930","2","June","English","3","47","1","Female","1","2","1","1","1","1","1","1","1","1","1","1","1","2","3","3","3","9","9","9","2","2","3","2","2","2","2","2","2","9","3","2","2","2","2","2",1.51612903225806,56,"Employed"
"201930","2","June","English","3","47","1","Female","1","2","1","1","1","1","1","1","1","1","1","1","1","2","3","3","3","9","9","9","2","2","3","2","2","2","2","2","2","9","3","2","2","2","2","2",1.51612903225806,56,"Employed"
